year,OECD North America,OECD Asia Oceania,OECD Europe,Sub-Saharan Africa,Latin America,MENA,Eastern Europe,Non-OECD Asia,China,India,Global
1971,0.376,0.398,0.257,0.028,0.063,0.226,0.792,0.051,0.022,0.075,0.241751223
1972,0.374,0.407,0.273,0.033,0.064,0.218,0.777,0.049,0.022,0.071,0.246645552
1973,0.378,0.405,0.283,0.033,0.077,0.221,0.778,0.050,0.022,0.072,0.250720475
1974,0.382,0.402,0.273,0.034,0.079,0.228,0.784,0.050,0.022,0.072,0.248674885
1975,0.376,0.401,0.275,0.035,0.084,0.212,0.530,0.051,0.022,0.072,0.243838208
1976,0.384,0.390,0.282,0.036,0.090,0.218,0.650,0.052,0.022,0.072,0.252468706
1977,0.385,0.384,0.283,0.035,0.101,0.226,0.646,0.052,0.024,0.072,0.251476866
1978,0.384,0.392,0.293,0.036,0.099,0.223,0.649,0.053,0.025,0.072,0.254270192
1979,0.393,0.385,0.287,0.035,0.104,0.206,0.650,0.057,0.025,0.079,0.25376776
1980,0.388,0.382,0.290,0.035,0.105,0.226,0.500,0.054,0.026,0.071,0.24615205
1981,0.394,0.385,0.286,0.036,0.112,0.234,0.474,0.056,0.023,0.075,0.24245055
1982,0.399,0.396,0.281,0.035,0.114,0.221,0.450,0.054,0.026,0.070,0.240491947
1983,0.406,0.392,0.285,0.035,0.114,0.222,0.431,0.057,0.027,0.072,0.23994559
1984,0.406,0.386,0.286,0.037,0.107,0.224,0.418,0.061,0.028,0.080,0.24020512
1985,0.407,0.379,0.256,0.034,0.112,0.211,0.396,0.057,0.028,0.071,0.230311291
1986,0.405,0.380,0.261,0.032,0.144,0.229,0.397,0.054,0.029,0.063,0.231240522
1987,0.408,0.383,0.262,0.031,0.150,0.231,0.391,0.053,0.031,0.061,0.231670267
1988,0.406,0.396,0.275,0.033,0.158,0.232,0.386,0.056,0.035,0.066,0.236161436
1989,0.404,0.412,0.271,0.033,0.160,0.223,0.385,0.057,0.039,0.063,0.235672344
1990,0.416,0.494,0.282,0.033,0.166,0.223,0.255,0.061,0.043,0.071,0.228709048
1991,0.412,0.505,0.281,0.034,0.164,0.224,0.266,0.065,0.046,0.074,0.230503945
1992,0.409,0.515,0.282,0.031,0.166,0.212,0.191,0.066,0.051,0.073,0.224855454
1993,0.393,0.527,0.278,0.033,0.179,0.207,0.149,0.067,0.063,0.070,0.219519349
1994,0.398,0.540,0.285,0.032,0.187,0.212,0.169,0.070,0.064,0.072,0.225934594
1995,0.402,0.543,0.286,0.032,0.194,0.202,0.159,0.071,0.068,0.072,0.227369409
1996,0.396,0.544,0.289,0.035,0.193,0.213,0.152,0.076,0.077,0.073,0.2299349
1997,0.409,0.547,0.288,0.036,0.207,0.202,0.150,0.077,0.081,0.076,0.232591322
1998,0.413,0.543,0.292,0.032,0.216,0.213,0.160,0.074,0.081,0.063,0.233755801
1999,0.411,0.543,0.298,0.033,0.211,0.209,0.170,0.077,0.092,0.067,0.237830992
2000,0.414,0.530,0.294,0.033,0.211,0.205,0.148,0.078,0.084,0.066,0.234877892
2001,0.420,0.537,0.297,0.035,0.209,0.208,0.141,0.080,0.087,0.067,0.23635181
2002,0.412,0.535,0.300,0.038,0.218,0.201,0.143,0.082,0.088,0.069,0.23596642
2003,0.417,0.536,0.307,0.040,0.218,0.218,0.146,0.084,0.092,0.071,0.239887269
2004,0.424,0.541,0.309,0.043,0.220,0.214,0.154,0.085,0.112,0.069,0.243946639
2005,0.420,0.536,0.310,0.045,0.218,0.210,0.222,0.091,0.112,0.072,0.249498429
2006,0.431,0.540,0.315,0.046,0.223,0.211,0.222,0.093,0.118,0.073,0.250978619
2007,0.427,0.537,0.322,0.047,0.227,0.212,0.246,0.097,0.124,0.076,0.253934086
2008,0.430,0.537,0.325,0.049,0.231,0.220,0.244,0.098,0.138,0.077,0.256345043
2009,0.434,0.536,0.322,0.049,0.233,0.211,0.241,0.102,0.147,0.082,0.255787912
