"region","year","gdp","population","urban"
"China",1971,107076898572.224,839976.781,17.7613872502292
"China",1972,111145820717.969,861037.629,17.7596389578598
"China",1973,119926340554.688,881360.746,17.7595050654532
"China",1974,122684646387.446,900499.234,17.7611775717308
"China",1975,133358210623.154,918173.743,17.7646863144702
"China",1976,131224479253.183,934189.044,18.1596982778203
"China",1977,141197539676.426,948701.227,18.5564792833586
"China",1978,157717651818.568,962243.263,18.9539820941998
"China",1979,169704193356.779,975581.158,19.3508397857477
"China",1980,182941120438.607,989315.597,19.7461107093028
"China",1981,192454058701.415,1003479.561,20.4491144009607
"China",1982,209967378043.243,1018023.526,21.1505811798336
"China",1983,232853822249.958,1033350.796,21.8509068158732
"China",1984,268247603231.951,1049927.638,22.550684031822
"China",1985,304461029668.264,1068010.229,23.2503505639664
"China",1986,331253600279.071,1087824.816,23.9655411576603
"China",1987,369679017911.443,1109089.661,24.6806330042272
"China",1988,411452746935.436,1130909.098,25.395692544423
"China",1989,428322309559.79,1152046.738,26.1107595389428
"China",1990,444598557323.062,1171582.736,26.8259038854572
"China",1991,485501624596.783,1189233.763,27.7241601807649
"China",1992,554442855289.526,1205163.916,28.6225346399218
"China",1993,632064855030.061,1219458.134,29.5215809874946
"China",1994,714865351038.998,1232357.817,30.421978320602
"China",1995,792785674302.249,1244074.386,31.3240677973085
"China",1996,872064241732.474,1254577.686,32.3065721333373
"China",1997,953166216213.594,1263864.466,33.2905198086387
"China",1998,1027513181078.26,1272233.063,34.2747679024292
"China",1999,1105604182840.2,1280073.347,35.2578630481005
"China",2000,1198474934198.78,1287695.791,36.2388829709943
"China",2001,1297948353737.28,1295221.281,37.5614082004062
"China",2002,1416061653927.37,1302678.249,38.8820930875157
"China",2003,1557667819320.11,1310167.6,40.2016981071063
"China",2004,1714992269071.44,1317769.451,41.5212283612864
"China",2005,1908786395476.51,1325541.67,42.8413532091149
"China",2006,2151202267702.02,1333536.912,44.1739130962971
"China",2007,2456672989715.72,1341771.463,45.5069490797722
"China",2008,2692513596728.42,1350207.998,46.8403556395002
"China",2009,2940224847627.44,1358776.102,48.1739515615105
"China",2010,3246008231780.7,1367405.605,49.507611485979
"China",2011,3437522717455.76,1376082.937,50.7757139657346
"China",2012,3640336557785.65,1384770.183,52.0439350035234
"China",2013,3855116414695,1393336.748,53.3122234959275
"China",2014,4082568283162.01,1401618.886,54.5805221459232
"China",2015,4323439811868.57,1409484.586,55.8487931987927
"China",2016,4578522760768.81,1416880.486,56.9205294393616
"China",2017,4848655603654.17,1423785.957,57.9922333537071
"China",2018,5134726284269.77,1430145.239,59.0639229077642
"China",2019,5437675135041.68,1435908.85,60.1356243591479
"China",2020,5758497968009.14,1441043.564,61.2073523545996
"China",2021,6098249348121.68,1445515.521,62.0758671411061
"China",2022,6458046059660.86,1449326.012,62.944397664693
"China",2023,6839070777180.85,1452526.037,63.8129307218041
"China",2024,7242575953034.52,1455194.104,64.6814497263265
"China",2025,7669887934263.56,1457393.151,65.549942186019
